kate,55145.866667,18712.380030,pres,JanusGraph
kate,167864.066667,170886.982132,pres,PostgreSQL
kate,13529.233333,175.001810,pres,TigerGraph
rev_trends,8505.933333,3834.938078,pres,JanusGraph
rev_trends,174.266667,136.547057,pres,PostgreSQL
rev_trends,99.833333,14.593535,pres,TigerGraph
julie,358.266667,248.031274,pres,JanusGraph
julie,3225.800000,2458.315086,pres,PostgreSQL
julie,94.233333,12.090701,pres,TigerGraph
kate,55145.866667,18712.380030,pres,JanusGraph
kate,335102.625000,10366.662689,pres,PostgreSQL
kate,13529.233333,175.001810,pres,TigerGraph
rev_trends,8505.933333,3834.938078,pres,JanusGraph
rev_trends,275.157895,27.129859,pres,PostgreSQL
rev_trends,99.833333,14.593535,pres,TigerGraph
julie,358.266667,248.031274,pres,JanusGraph
julie,4364.233333,347.879456,pres,PostgreSQL
julie,94.233333,12.090701,pres,TigerGraph
