739.266667,403.437294,1,JanusGraph,24.3
3028.433333,198.921347,1,PostgreSQL,24.3
5.233333,0.504007,1,TigerGraph,24.3
7189.833333,2061.855058,4,JanusGraph,126.1
52264.633333,1410.806287,4,PostgreSQL,126.1
1042.600000,29.614302,4,TigerGraph,126.1
17956.400000,5294.371172,7,JanusGraph,251.6
163582.166667,1607.418944,7,PostgreSQL,251.6
2031.666667,35.402448,7,TigerGraph,251.6
28094.433333,7209.560854,10,JanusGraph,406.7
285773.033333,3105.854477,10,PostgreSQL,406.7
3327.566667,56.786159,10,TigerGraph,406.7
40272.833333,12027.481627,13,JanusGraph,591.9
491920.800000,10876.698217,13,PostgreSQL,591.9
9.866667,1.591645,13,TigerGraph,591.9
