962.333333,343.281561,1,JanusGraph,24.3
3576.933333,108.007961,1,PostgreSQL,24.3
8.500000,1.432384,1,TigerGraph,24.3
10073.666667,3485.995117,4,JanusGraph,126.1
57140.966667,262.795250,4,PostgreSQL,126.1
1590.733333,24.191668,4,TigerGraph,126.1
25096.566667,8544.358500,7,JanusGraph,251.6
172600.866667,438.637210,7,PostgreSQL,251.6
3260.866667,34.789746,7,TigerGraph,251.6
43633.033333,14079.973302,10,JanusGraph,406.7
320353.866667,418.590717,10,PostgreSQL,406.7
5776.433333,55.130993,10,TigerGraph,406.7
69045.900000,17154.519888,13,JanusGraph,591.9
533586.433333,447.676506,13,PostgreSQL,591.9
13608.733333,51.462697,13,TigerGraph,591.9
